order_year_month,sales,profit,orders,sales_growth_pct
2011-01,98902,8321.80096,216,
2011-02,91152,12417.90698,183,-7.836039716082588
2011-03,145726,15303.56826,277,59.871423556257675
2011-04,116927,12902.32438,267,-19.762430863401182
2011-05,146762,12183.8287,295,25.51592018951996
2011-06,215214,23415.24702,468,46.64150120603425
2011-07,115518,5585.003519999999,250,-46.32412389528562
2011-08,207570,23713.66772,443,79.68628265724821
2011-09,290230,35776.88394,527,39.822710410945696
2011-10,199070,25963.41834,401,-31.4095717189815
2011-11,298499,32709.17772,563,49.946752398653736
2011-12,333941,40647.984000000004,620,11.873406611077431
2012-01,135775,10401.63764,260,-59.34162022632741
2012-02,100521,15000.09618,230,-25.96501565089302
2012-03,163092,17992.917559999998,337,62.24669472050617
2012-04,161060,17366.96722,322,-1.2459225467834067
2012-05,208370,29876.70374,413,29.3741462808891
2012-06,256181,34407.15362,571,22.945241637471803
2012-07,145247,15585.38842,324,-43.30297719190729
2012-08,303158,43573.87858,522,108.71894083870926
2012-09,289390,27776.18034,641,-4.541526200858959
2012-10,252942,30662.8827,499,-12.594768305746573
2012-11,323512,31820.7218,716,27.899676605704073
2012-12,338245,32950.751299999996,628,4.554081456020187
2013-01,199197,26810.55968,345,-41.10866383834203
2013-02,167247,23762.4961,306,-16.039398183707586
2013-03,198591,23433.77462,411,18.741143338893963
2013-04,177835,19462.03844,394,-10.451631745648093
2013-05,260525,28495.6941,522,46.498158405263304
2013-06,396513,45478.4134,724,52.19767776604933
2013-07,229940,28863.8272,447,-42.00946753322086
2013-08,326491,31023.66846,692,41.98964947377577
2013-09,376626,38905.667779999996,836,15.355706589155593
2013-10,293423,42433.22258,580,-22.091677154524646
2013-11,373996,48062.9967,789,27.459674258664112
2013-12,405476,50202.871119999996,825,8.417202323019502
2014-01,241267,28001.38626,450,-40.49783464372737
2014-02,184848,19751.69996,385,-23.384466172331898
2014-03,263110,37357.26052,530,42.33857006838051
2014-04,242781,23782.3012,523,-7.726426209570136
2014-05,288404,33953.55774,667,18.791832968807288
2014-06,401843,43778.6028,899,39.33336569534403
2014-07,258718,28035.87258,540,-35.61714400897863
2014-08,456633,53542.89496,843,76.49834955434103
2014-09,481186,67979.4511,1017,5.376965747109819
2014-10,422785,58209.83476,810,-12.136886775591972
2014-11,555312,62856.5879,1077,31.34619250919497
2014-12,503154,46916.52068,1093,-9.39255769729449
